971,1,2430.00,117.00,6.00
971,2,581.00,-1.0,-1.0
971,3,10.00,2.00,4.00
971,4,42.00,8.00,2.00
971,5,38.00,7.00,3.00
971,6,31.00,6.00,7.00
971,7,-1.0,-1.0,-1.0
971,8,-1.0,-1.0,-1.0
971,9,-1.0,-1.0,-1.0
971,10,-1.0,-1.0,-1.0
971,11,-1.0,-1.0,-1.0
971,12,-1.0,-1.0,-1.0
971,13,-1.0,-1.0,-1.0
971,14,-1.0,-1.0,-1.0
971,15,-1.0,-1.0,-1.0
971,16,-1.0,-1.0,-1.0
972,1,2410.00,720.00,9.00
972,2,577.00,172.00,9.00
972,3,10.00,3.00,6.00
972,4,40.00,12.00,17.00
972,5,43.00,12.90,5.00
972,6,42.00,12.60,14.00
972,7,0.20,0.06,1.00
972,8,4.00,1.20,-1.0
972,9,16.00,4.80,24.00
972,10,-1.0,-1.0,-1.0
972,11,-1.0,-1.0,-1.0
972,12,-1.0,-1.0,-1.0
972,13,-1.0,-1.0,-1.0
972,14,-1.0,-1.0,-1.0
972,15,-1.0,-1.0,-1.0
972,16,-1.0,-1.0,-1.0
973,1,370.00,-1.0,-1.0
973,2,89.00,117.00,6.00
973,3,5.00,6.50,13.00
973,4,1.00,1.30,2.00
973,5,12.00,15.60,6.00
973,6,0.50,0.70,1.00
973,7,0.70,0.90,15.00
973,8,6.00,7.80,31.00
973,9,0.00,0.00,0.00
973,10,-1.0,-1.0,-1.0
973,11,-1.0,-1.0,-1.0
973,12,-1.0,-1.0,-1.0
973,13,-1.0,-1.0,-1.0
973,14,-1.0,-1.0,-1.0
973,15,-1.0,-1.0,-1.0
973,16,-1.0,-1.0,-1.0
974,1,1150.00,350.00,4.00
974,2,275.00,84.00,4.00
974,3,1.50,0.50,1.00
974,4,29.00,8.70,12.00
974,5,1.00,0.30,0.00
974,6,0.00,0.00,0.00
974,7,3.20,1.00,17.00
974,8,4.00,1.20,-1.0
974,9,3.00,0.90,5.00
974,10,-1.0,-1.0,-1.0
974,11,-1.0,-1.0,-1.0
974,12,-1.0,-1.0,-1.0
974,13,-1.0,-1.0,-1.0
974,14,-1.0,-1.0,-1.0
974,15,-1.0,-1.0,-1.0
974,16,-1.0,-1.0,-1.0
975,1,2550.00,770.00,9.00
975,2,610.00,134.00,9.00
975,3,36.00,10.80,22.00
975,4,50.00,15.00,21.00
975,5,3.00,0.90,0.00
975,6,3.00,0.90,1.00
975,7,0.10,0.03,1.00
975,8,5.00,1.50,-1.0
975,9,10.00,3.00,15.00
975,10,-1.0,-1.0,-1.0
975,11,-1.0,-1.0,-1.0
975,12,-1.0,-1.0,-1.0
975,13,-1.0,-1.0,-1.0
975,14,-1.0,-1.0,-1.0
975,15,-1.0,-1.0,-1.0
975,16,-1.0,-1.0,-1.0
976,1,870.00,-1.0,-1.0
976,2,208.00,62.00,3.00
976,3,1.50,0.50,1.00
976,4,22.00,6.60,9.00
976,5,1.50,0.50,0.00
976,6,0.50,0.20,0.00
976,7,0.03,0.00,0.00
976,8,0.00,0.00,0.00
976,9,21.00,6.30,32.00
976,10,-1.0,-1.0,-1.0
976,11,-1.0,-1.0,-1.0
976,12,-1.0,-1.0,-1.0
976,13,-1.0,-1.0,-1.0
976,14,-1.0,-1.0,-1.0
976,15,-1.0,-1.0,-1.0
976,16,-1.0,-1.0,-1.0
977,1,820.00,-1.0,-1.0
977,2,196.00,175.00,9.00
977,3,24.00,21.60,43.00
977,4,11.00,9.90,14.00
977,5,0.00,0.00,0.00
977,6,0.00,0.00,0.00
977,7,0.30,0.30,5.00
977,8,0.00,0.00,0.00
977,9,3.00,2.70,14.00
977,10,-1.0,-1.0,-1.0
977,11,-1.0,-1.0,-1.0
977,12,-1.0,-1.0,-1.0
977,13,-1.0,-1.0,-1.0
977,14,-1.0,-1.0,-1.0
977,15,-1.0,-1.0,-1.0
977,16,-1.0,-1.0,-1.0
978,1,1567.00,-1.0,-1.0
