imageable_id,id,?column?,?column?,?column?
971,1,-1,-1,-1
971,2,-1,-1,-1
971,3,-1,-1,-1
971,4,-1,-1,-1
971,5,-1,-1,-1
971,6,-1,-1,-1
971,7,-1,-1,-1
971,8,-1,-1,-1
971,9,-1,-1,-1
971,10,-1,-1,-1
971,11,-1,-1,-1
971,12,-1,-1,-1
971,13,-1,-1,-1
971,14,-1,-1,-1
971,15,-1,-1,-1
971,16,-1,-1,-1
983,1,-1,-1,-1
983,2,-1,-1,-1
983,3,-1,-1,-1
983,4,-1,-1,-1
983,5,-1,-1,-1
983,6,-1,-1,-1
983,7,-1,-1,-1
983,8,-1,-1,-1
983,9,-1,-1,-1
983,10,-1,-1,-1
983,11,-1,-1,-1
983,12,-1,-1,-1
983,13,-1,-1,-1
983,14,-1,-1,-1
983,15,-1,-1,-1
983,16,-1,-1,-1
989,1,-1,-1,-1
989,2,-1,-1,-1
989,3,-1,-1,-1
989,4,-1,-1,-1
989,5,-1,-1,-1
989,6,-1,-1,-1
989,7,-1,-1,-1
989,8,-1,-1,-1
989,9,-1,-1,-1
989,10,-1,-1,-1
989,11,-1,-1,-1
989,12,-1,-1,-1
989,13,-1,-1,-1
989,14,-1,-1,-1
989,15,-1,-1,-1
989,16,-1,-1,-1
991,1,-1,-1,-1
991,2,-1,-1,-1
991,3,-1,-1,-1
991,4,-1,-1,-1
991,5,-1,-1,-1
991,6,-1,-1,-1
991,7,-1,-1,-1
991,8,-1,-1,-1
991,9,-1,-1,-1
991,10,-1,-1,-1
991,11,-1,-1,-1
991,12,-1,-1,-1
991,13,-1,-1,-1
991,14,-1,-1,-1
991,15,-1,-1,-1
991,16,-1,-1,-1
993,1,-1,-1,-1
993,2,-1,-1,-1
993,3,-1,-1,-1
993,4,-1,-1,-1
993,5,-1,-1,-1
993,6,-1,-1,-1
993,7,-1,-1,-1
993,8,-1,-1,-1
993,9,-1,-1,-1
993,10,-1,-1,-1
993,11,-1,-1,-1
993,12,-1,-1,-1
993,13,-1,-1,-1
993,14,-1,-1,-1
993,15,-1,-1,-1
993,16,-1,-1,-1
996,1,-1,-1,-1
996,2,-1,-1,-1
996,3,-1,-1,-1
996,4,-1,-1,-1
996,5,-1,-1,-1
996,6,-1,-1,-1
996,7,-1,-1,-1
996,8,-1,-1,-1
996,9,-1,-1,-1
996,10,-1,-1,-1
996,11,-1,-1,-1
996,12,-1,-1,-1
996,13,-1,-1,-1
996,14,-1,-1,-1
996,15,-1,-1,-1
996,16,-1,-1,-1
1005,1,-1,-1,-1
1005,2,-1,-1,-1
1005,3,-1,-1,-1
1005,4,-1,-1,-1
1005,5,-1,-1,-1
1005,6,-1,-1,-1
1005,7,-1,-1,-1
1005,8,-1,-1,-1
1005,9,-1,-1,-1
1005,10,-1,-1,-1
1005,11,-1,-1,-1
1005,12,-1,-1,-1
1005,13,-1,-1,-1
1005,14,-1,-1,-1
1005,15,-1,-1,-1
1005,16,-1,-1,-1
1011,1,-1,-1,-1
1011,2,-1,-1,-1
1011,3,-1,-1,-1
1011,4,-1,-1,-1
1011,5,-1,-1,-1
1011,6,-1,-1,-1
1011,7,-1,-1,-1
