972,1,2410.00,720.00,9.00
972,2,577.00,172.00,9.00
972,3,10.00,3.00,6.00
972,4,40.00,12.00,17.00
972,5,43.00,12.90,5.00
972,6,42.00,12.60,14.00
972,7,0.20,0.06,1.00
972,8,4.00,1.20,-1.0
972,9,16.00,4.80,24.00
972,10,-1.0,-1.0,-1.0
972,11,-1.0,-1.0,-1.0
972,12,-1.0,-1.0,-1.0
972,13,-1.0,-1.0,-1.0
972,14,-1.0,-1.0,-1.0
972,15,-1.0,-1.0,-1.0
972,16,-1.0,-1.0,-1.0
974,1,1150.00,350.00,4.00
974,2,275.00,84.00,4.00
974,3,1.50,0.50,1.00
974,4,29.00,8.70,12.00
974,5,1.00,0.30,0.00
974,6,0.00,0.00,0.00
974,7,3.20,1.00,17.00
974,8,4.00,1.20,-1.0
974,9,3.00,0.90,5.00
974,10,-1.0,-1.0,-1.0
974,11,-1.0,-1.0,-1.0
974,12,-1.0,-1.0,-1.0
974,13,-1.0,-1.0,-1.0
974,14,-1.0,-1.0,-1.0
974,15,-1.0,-1.0,-1.0
974,16,-1.0,-1.0,-1.0
976,1,870.00,-1.0,-1.0
976,2,208.00,62.00,3.00
976,3,1.50,0.50,1.00
976,4,22.00,6.60,9.00
976,5,1.50,0.50,0.00
976,6,0.50,0.20,0.00
976,7,0.03,0.00,0.00
976,8,0.00,0.00,0.00
976,9,21.00,6.30,32.00
976,10,-1.0,-1.0,-1.0
976,11,-1.0,-1.0,-1.0
976,12,-1.0,-1.0,-1.0
976,13,-1.0,-1.0,-1.0
976,14,-1.0,-1.0,-1.0
976,15,-1.0,-1.0,-1.0
976,16,-1.0,-1.0,-1.0
978,1,1567.00,-1.0,-1.0
978,2,375.00,-1.0,-1.0
978,3,13.20,-1.0,-1.0
978,4,2.00,-1.0,-1.0
978,5,73.00,-1.0,-1.0
978,6,3.00,-1.0,-1.0
978,7,0.05,-1.0,-1.0
978,8,3.40,-1.0,-1.0
978,9,0.40,-1.0,-1.0
978,10,-1.0,-1.0,-1.0
978,11,-1.0,-1.0,-1.0
978,12,-1.0,-1.0,-1.0
978,13,-1.0,-1.0,-1.0
978,14,-1.0,-1.0,-1.0
978,15,-1.0,-1.0,-1.0
978,16,-1.0,-1.0,-1.0
979,1,3030.00,460.00,6.00
979,2,725.00,110.00,6.00
979,3,1.50,0.20,0.00
979,4,81.00,12.20,17.00
979,5,0.00,0.00,0.00
979,6,0.00,0.00,0.00
979,7,0.90,0.10,2.00
979,8,1.00,0.20,-1.0
979,9,9.00,1.40,7.00
979,10,-1.0,-1.0,-1.0
979,11,-1.0,-1.0,-1.0
979,12,-1.0,-1.0,-1.0
979,13,-1.0,-1.0,-1.0
